person,Household Expenses,Living Expenses,Personal Expenses,Healthcare,Entertainment and Leisure,Gifts and Donations,Substances,Income,Transportation,Education,Telephone services
464563,1972.14,10346.189999999999,11216.009999999998,2362.89,3140.6400000000003,1479.93,241.36,40893.3,5816.3,2432.58,0.0
471663,2381.33,3633.0400000000004,4252.0,0.0,0.0,1164.42,359.29,14177.3,67.22,382.24,0.0
472522,1862.4799999999998,5226.75,7500.0599999999995,0.0,849.6500000000001,233.23,149.26,5748.55,693.4,0.0,436.19
475811,866.98,544.52,1689.2,0.0,1201.2,380.33000000000004,119.59,4111.4,2365.02,0.0,0.0
477138,1009.0799999999999,348.78,1281.83,0.0,460.33000000000004,957.56,323.7,5714.39,0.0,1048.98,309.72
488928,2653.1900000000005,10927.99,6147.01,2655.89,2455.67,0.0,77.62,20518.6,1944.15,6.5,532.08
499312,3312.54,7220.710000000001,4993.66,1127.74,952.4200000000001,691.62,303.66,19434.5,1313.85,498.96,0.0
501047,3120.8999999999996,2923.33,5159.82,0.0,2970.58,826.02,137.84,10817.2,4418.43,0.0,282.3
505965,1520.1,4960.09,5188.1900000000005,1221.26,577.33,78.42,79.82,9945.54,1428.67,489.12,141.3
515794,1100.45,3273.1899999999996,513.3100000000001,460.23,666.27,424.24,81.8,1258.39,0.0,117.13,216.58
515799,1370.25,5204.6,4464.63,0.0,683.75,0.0,129.81,5150.48,0.0,0.0,32.88
527597,3455.32,5664.790000000001,4385.360000000001,1609.38,406.02,352.52,642.8,18210.2,0.0,273.8,167.01
533024,5305.460000000001,7309.12,9045.96,0.0,3030.47,3165.19,405.15,34513.1,221.07,1271.14,629.02
533094,2805.7000000000003,5109.34,11004.08,2267.78,1321.74,26.94,689.35,25708.9,0.0,1395.87,0.0
533141,3496.9900000000002,4261.64,4984.639999999999,0.0,105.77,1410.37,212.89,12388.0,0.0,0.0,85.73
534034,1429.9099999999999,2281.5600000000004,1001.0,0.0,44.55,243.16,98.45,6909.84,0.0,0.0,24.66
534449,1344.67,4855.62,2402.18,0.0,0.0,605.53,216.81,2249.89,395.95,0.0,0.0
536953,2776.46,2861.0,3141.87,0.0,730.47,404.72,100.1,6721.34,1970.27,1151.36,49.27
541017,3427.6600000000003,13419.879999999997,13144.539999999999,2432.0,2845.75,4155.74,276.94,28827.5,8084.37,195.49,0.0
544615,1867.22,4740.900000000001,5325.62,0.0,1992.43,909.43,185.85,14125.6,0.0,0.0,171.51
546478,1386.61,7104.51,4581.11,0.0,470.14000000000004,652.46,47.57,8367.13,9595.78,0.0,0.0
546626,2774.97,2867.07,3879.06,0.0,0.0,431.55,422.9,13128.4,0.0,459.16,296.4
548320,3570.53,3533.5,2958.66,333.79,1379.85,615.78,64.15,13557.0,3982.11,0.0,0.0
552439,1547.51,3812.0399999999995,4036.1200000000003,0.0,365.46,982.24,241.27,13256.9,0.0,485.44,0.0
563211,6423.789999999999,8023.9800000000005,14208.74,0.0,2739.3,3521.04,96.34,33865.0,855.88,2947.72,908.48
563584,3517.8399999999997,3513.63,2007.7,1691.94,371.16,0.0,233.94,11708.6,319.5,668.48,0.0
572413,1172.04,3246.1400000000003,2497.3199999999997,390.65,0.0,447.6,162.07999999999998,12652.9,2155.42,0.0,187.52
573870,1499.47,414.28,1533.25,0.0,639.76,837.64,241.38,3019.34,1170.2,1416.17,99.74
582851,4161.110000000001,8675.47,7907.27,1548.47,0.0,1318.01,399.23,18671.5,3336.95,26.02,674.77
585212,850.99,1851.28,1159.64,0.0,0.0,470.65,91.47,7023.93,0.0,556.72,23.93
590265,3267.32,2512.42,2035.77,0.0,1117.11,0.0,279.16,8856.87,12740.8,438.82,155.39
595057,1946.1100000000001,2693.48,1874.17,0.0,0.0,167.12,99.71,5705.36,4289.16,0.0,28.62
599441,381.27000000000004,1134.38,1109.3799999999999,0.0,460.23,68.27,20.01,820.43,0.0,0.0,63.91
602912,2569.85,8482.09,4528.33,2191.45,437.71999999999997,0.0,63.04,18351.2,0.0,0.0,0.0
604021,2198.54,4039.87,885.22,881.17,84.22,535.35,134.84,7756.23,1236.75,31.35,132.22
606043,2268.3100000000004,4550.47,2929.99,1829.16,1069.3600000000001,661.37,52.3,17608.3,6003.36,804.23,0.0
629627,1598.33,1256.47,2523.1,0.0,527.12,390.1,208.98,6596.71,1576.9,0.0,79.87
634181,2119.33,4449.45,4729.68,2233.87,959.6500000000001,32.69,184.39,15174.5,2201.95,1370.33,65.04
639051,6412.65,12832.59,63055.38,0.0,0.0,12834.45,131.53,196567.0,11164.1,3604.06,1281.5
645210,2518.38,6739.37,4707.139999999999,0.0,1223.88,749.49,278.77,29973.6,6687.72,157.68,37.94
653390,3093.81,4183.889999999999,1764.6699999999998,0.0,1622.72,1055.8799999999999,358.62,10042.3,0.0,336.03,415.63
656156,1927.21,2010.51,3943.0,0.0,430.39,557.16,20.87,13710.2,4849.31,398.58,70.98
