Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
538892,0,614761,2020424,1,,,,,,
500813,0,542965,2274331,1,,,,,,
500813,0,614761,2380177,1,,,,,,
614761,0,542965,2430149,1,,,,,,
500813,0,538892,2975300,1,,,,,,
614761,0,542965,3657899,1,,,,,,
500813,0,572391,4119524,1,,,,,,
493094,0,572391,4299598,1,,,,,,
536003,0,572391,4571584,1,,,,,,
536003,0,493094,4606382,1,,,,,,
521318,0,572391,4751398,1,,,,,,
536003,0,493094,4751604,1,,,,,,
493094,0,536003,4786310,1,,,,,,
493094,0,521318,4803460,1,,,,,,
521318,0,493094,4879592,1,,,,,,
542649,0,493094,4889936,1,,,,,,
493094,0,572391,5001127,1,,,,,,
536003,0,572391,5047092,1,,,,,,
614761,0,572391,5120855,1,,,,,,
521318,0,572391,5380865,1,,,,,,
572391,0,493094,5415006,1,,,,,,
542649,0,493094,5549295,1,,,,,,
614761,0,538892,5552690,1,,,,,,
493094,0,536003,5570859,1,,,,,,
572391,0,493094,5600496,1,,,,,,
536003,0,493094,5657250,1,,,,,,
542649,0,493094,5695888,1,,,,,,
493094,0,572391,5768758,1,,,,,,
500813,0,542965,5776123,1,,,,,,
500813,0,614761,5822309,1,,,,,,
493094,0,536003,5927475,1,,,,,,
521318,0,493094,5939231,1,,,,,,
572391,0,493094,5946490,1,,,,,,
521318,0,572391,5953630,1,,,,,,
536003,0,572391,5997711,1,,,,,,
536003,0,493094,6045248,1,,,,,,
521318,0,572391,6088471,1,,,,,,
493094,0,536003,6099754,1,,,,,,
572391,0,493094,6264092,1,,,,,,
538892,0,500813,6547149,1,,,,,,
493094,0,536003,6551747,1,,,,,,
536003,0,572391,6661462,1,,,,,,
521318,0,493094,6707208,1,,,,,,
493094,0,572391,6741098,1,,,,,,
493094,0,536003,6868180,1,,,,,,
572391,0,493094,6969107,1,,,,,,
521318,0,572391,7234277,1,,,,,,
493094,0,572391,7257372,1,,,,,,
493094,0,536003,7361660,1,,,,,,
614761,0,542965,7616725,1,,,,,,
493094,0,572391,7632859,1,,,,,,
493094,0,572391,7691776,1,,,,,,
521318,0,493094,7902315,1,,,,,,
572391,0,493094,8028888,1,,,,,,
521318,0,572391,8119549,1,,,,,,
572391,0,493094,8396953,1,,,,,,
521318,0,572391,8698081,1,,,,,,
572391,0,493094,8951610,1,,,,,,
544074,0,516236,9043949,1,,,,,,
544074,0,516236,9056801,1,,,,,,
544074,0,607386,9132905,1,,,,,,
544074,0,493652,9188843,1,,,,,,
541619,0,538892,9412792,1,,,,,,
572391,0,542649,9421205,1,,,,,,
542649,0,572391,9466049,1,,,,,,
544074,0,493652,9633884,1,,,,,,
500813,0,614761,9670356,1,,,,,,
544074,0,541619,9798433,1,,,,,,
572391,0,542649,9906612,1,,,,,,
541619,0,493652,10234286,1,,,,,,
607386,0,516236,10300433,1,,,,,,
544074,0,541619,10375445,1,,,,,,
607386,0,538892,10473136,1,,,,,,
541619,0,516236,10533925,1,,,,,,
493652,0,538892,10571496,1,,,,,,
542649,0,572391,10573818,1,,,,,,
544074,0,516236,10753668,1,,,,,,
607386,0,493652,10820701,1,,,,,,
541619,0,607386,10866945,1,,,,,,
544074,0,541619,10914107,1,,,,,,
544074,0,541619,11057489,1,,,,,,
607386,0,541619,11104277,1,,,,,,
607386,0,538892,11212797,1,,,,,,
493652,0,538892,11235305,1,,,,,,
572391,0,542649,11961227,1,,,,,,
542649,0,572391,12641770,1,,,,,,
542649,0,572391,13490410,1,,,,,,
542649,0,572391,13687156,1,,,,,,
538892,0,541619,16628392,1,,,,,,
538892,0,541619,16897710,1,,,,,,
538892,0,541619,17499134,1,,,,,,
538892,0,544074,17697435,1,,,,,,
544074,0,538892,17934517,1,,,,,,
541619,0,538892,17989009,1,,,,,,
538892,0,544074,18132297,1,,,,,,
544074,0,541619,18196252,1,,,,,,
538892,0,544074,18337188,1,,,,,,
544074,0,538892,18636988,1,,,,,,
544074,0,541619,18898309,1,,,,,,
538892,0,541619,18973146,1,,,,,,
544074,0,541619,19022747,1,,,,,,
544074,0,538892,19167417,1,,,,,,
538892,0,544074,19361607,1,,,,,,
544074,0,541619,19623842,1,,,,,,
544074,0,541619,19884838,1,,,,,,
538892,0,541619,20000695,1,,,,,,
541619,0,544074,20033852,1,,,,,,
544074,0,538892,20064067,1,,,,,,
541619,0,538892,20176137,1,,,,,,
614761,1,542965,1672686,1,1,2,-27.7842,-8.74823,-21.896,89.4
538892,1,572391,1749455,1,2,2,-23.5953,91.3571,-21.1411,91.1427
614761,1,500813,2220686,1,1,1,-27.7842,-8.74823,-29.1714,-10.493
500813,1,542965,2476844,1,1,2,-29.1714,-10.493,-21.896,89.4
