person,Household,Living,Personal,Healthcare,Leisure,Donations,Substances,Income,Transportation,Education,Telephone
464579,11757.78,13204.920000000002,16362.3,0.0,5786.71,1840.03,1574.64,20352.5,5627.55,1895.87,0.0
477374,2028.45,1779.0300000000002,4538.639999999999,0.0,962.72,1136.23,418.88,13703.4,333.32,0.0,24.56
482012,5363.240000000001,6392.1,5977.629999999999,0.0,41.22,133.42,283.45,18450.2,6672.05,988.82,512.19
483005,3028.6800000000003,6307.9,2575.42,0.0,147.51,138.96,577.22,4521.72,1337.98,2077.39,576.65
492850,2683.69,4548.53,4548.11,500.25,480.84000000000003,645.83,49.18,19821.5,10152.6,0.0,512.35
516873,9126.61,41396.799999999996,104029.81,0.0,9585.05,0.0,1483.5900000000001,67163.2,10798.3,4771.52,3966.64
536906,1720.1,3006.31,1788.4299999999998,0.0,351.2,115.42,173.56,2614.97,0.0,3283.68,0.0
541907,811.2900000000001,3865.4399999999996,2033.55,0.0,332.15,823.28,3.66,7219.68,0.0,0.0,371.91
544636,2664.84,7651.44,22201.410000000003,0.0,1901.74,4283.9400000000005,805.86,38582.0,1166.13,1345.64,266.98
546593,6729.7,14400.97,12549.02,0.0,0.0,3156.48,667.15,7720.52,0.0,5961.09,1259.95
557269,1169.87,2472.53,1528.32,730.33,592.91,326.47,49.47,4724.3,0.0,0.0,226.22
566580,715.74,4112.69,1295.4499999999998,0.0,2275.25,19.13,236.14,3158.36,3687.2,1649.44,0.0
569329,4065.0299999999997,6053.02,8064.36,0.0,2.39,1219.3200000000002,775.94,9478.52,14649.5,2970.54,1021.95
571369,12609.449999999999,16495.53,45441.229999999996,0.0,1469.8,11889.33,2326.41,141744.0,39565.6,1752.47,0.0
579305,7689.490000000001,25320.01,6247.67,0.0,3239.47,5215.950000000001,709.81,27376.1,17251.3,0.0,756.21
580798,1646.6499999999999,1015.09,4460.61,0.0,17.58,792.79,48.73,8773.28,4659.92,1975.82,262.83
584457,2029.1299999999999,2796.4800000000005,4016.5299999999997,0.0,1409.32,358.09,445.19000000000005,4963.3,2645.89,0.0,53.76
585606,4737.41,6566.63,2562.5,0.0,67.06,1175.29,25.63,3906.88,6110.68,0.0,0.0
588172,723.5699999999999,2488.96,1502.04,0.0,720.65,450.54,187.26,4410.78,0.0,413.23,0.0
601496,2338.0600000000004,6479.129999999999,3697.01,0.0,2014.3700000000001,331.23,430.54,8395.12,1817.39,468.27,391.11
628320,1725.6100000000001,2049.15,3866.7400000000002,1444.23,1005.9100000000001,1333.81,361.43,10065.5,1687.09,597.67,430.79
636721,2205.9900000000002,7139.5599999999995,3887.1099999999997,0.0,149.78,466.34,240.67,13157.7,0.0,0.0,0.0
639642,5021.83,2557.94,7279.9,907.2,2040.45,2197.32,355.3,17549.4,3458.5,419.38,277.86
655963,11113.5,39283.2,24949.03,0.0,5710.099999999999,2502.66,1202.47,109907.0,15436.2,4425.31,3230.1
657526,3638.42,9076.279999999999,17672.8,3697.33,0.0,984.37,102.03,37449.4,0.0,1444.46,2708.62
