Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
594308,0,549840,105656,1,,,,,,
483784,0,631903,975525,1,,,,,,
549840,0,619322,1674004,1,,,,,,
524153,0,594308,12269175,1,,,,,,
524153,0,530990,12457852,1,,,,,,
573137,0,594308,13494250,1,,,,,,
549840,0,477657,17222207,1,,,,,,
631903,0,524153,19962775,1,,,,,,
631903,0,530990,20238675,1,,,,,,
619322,0,631903,20434873,1,,,,,,
594308,0,631903,20774327,1,,,,,,
483784,0,549840,22591259,1,,,,,,
631903,0,477657,26548331,1,,,,,,
477657,0,573137,27310421,1,,,,,,
549840,0,524153,28001444,1,,,,,,
619322,0,530990,28392298,1,,,,,,
561819,0,619322,29126902,1,,,,,,
594308,1,477657,2053209,1,2,4,-24.1761,93.8902,-1.17279,-170.646
483784,1,619322,4699152,1,0,3,32.2503,-40.4067,-24.2286,-111.129
483784,1,561819,7920737,1,0,1,32.2503,-40.4067,-27.4766,-14.6148
477657,1,561819,8308267,1,4,1,-1.17279,-170.646,-27.4766,-14.6148
619322,1,530990,8590844,1,3,3,-24.2286,-111.129,-25.0313,-110.738
594308,1,631903,9699658,1,2,5,-24.1761,93.8902,25.5535,153.235
483784,1,549840,10909120,1,0,5,32.2503,-40.4067,22.5232,151.855
573137,1,530990,12960538,1,4,3,0.259451,-165.576,-25.0313,-110.738
594308,1,549840,17145053,1,2,5,-24.1761,93.8902,22.5232,151.855
477657,1,619322,17631014,1,4,3,-1.17279,-170.646,-24.2286,-111.129
530990,1,561819,19289575,1,3,1,-25.0313,-110.738,-27.4766,-14.6148
530990,1,561819,19519615,1,3,1,-25.0313,-110.738,-27.4766,-14.6148
594308,1,561819,26279498,1,2,1,-24.1761,93.8902,-27.4766,-14.6148
530990,1,561819,31198737,1,3,1,-25.0313,-110.738,-27.4766,-14.6148
477657,3,594308,4924800,0,0,5,33,-41,22,156
619322,3,477657,9504000,2,3,5,-25,-111,22,156
477657,3,594308,26006400,1,4,0,1,-165,33,-41
644830,2,585212,13302589,958,,,,,,
644830,2,585212,14314933,213,,,,,,
644830,2,585212,15936004,276,,,,,,
644830,2,585212,16227037,245,,,,,,
644830,2,585212,17764060,213,,,,,,
644830,2,585212,18425192,581,,,,,,
644830,2,585212,20170502,209,,,,,,
