Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
505965,0,629627,1308663,1,,,,,,
505965,0,515794,1325061,1,,,,,,
505965,0,515794,1372640,1,,,,,,
505965,0,515794,1431512,1,,,,,,
505965,0,629627,1538449,1,,,,,,
515794,0,629627,1578355,1,,,,,,
515794,0,505965,1589475,1,,,,,,
515794,0,505965,1630374,1,,,,,,
515794,0,629627,1637146,1,,,,,,
515794,0,629627,1651736,1,,,,,,
515794,0,629627,1679456,1,,,,,,
505965,0,515794,1692798,1,,,,,,
505965,0,515794,1720161,1,,,,,,
515794,0,505965,1732586,1,,,,,,
505965,0,629627,1758690,1,,,,,,
515794,0,505965,1791802,1,,,,,,
505965,0,629627,1797636,1,,,,,,
505965,0,629627,1817071,1,,,,,,
541017,0,563211,1982342,1,,,,,,
599441,0,527597,2746226,1,,,,,,
629627,0,585212,2950741,1,,,,,,
599441,0,534034,3023537,1,,,,,,
527597,0,563211,3050236,1,,,,,,
599441,0,629627,3153653,1,,,,,,
629627,0,582851,3409195,1,,,,,,
629627,0,599441,3581012,1,,,,,,
563211,0,585212,4177530,1,,,,,,
534034,0,629627,4287760,1,,,,,,
541017,0,527597,4424230,1,,,,,,
629627,0,585212,4440724,1,,,,,,
629627,0,527597,4555568,1,,,,,,
527597,0,534034,4752011,1,,,,,,
629627,0,599441,4819651,1,,,,,,
644830,0,585212,4940501,1,,,,,,
644830,0,488928,4992132,1,,,,,,
527597,0,599441,5032573,1,,,,,,
534034,0,629627,5150002,1,,,,,,
541017,0,599441,5179013,1,,,,,,
527597,0,629627,5254924,1,,,,,,
527597,0,585212,5573115,1,,,,,,
585212,0,644830,5573577,1,,,,,,
488928,0,585212,5720004,1,,,,,,
599441,0,585212,5814474,1,,,,,,
585212,0,644830,5870257,1,,,,,,
585212,0,488928,5876469,1,,,,,,
534034,0,585212,5906427,1,,,,,,
644830,0,488928,5932656,1,,,,,,
488928,0,585212,6002958,1,,,,,,
644830,0,585212,6015112,1,,,,,,
585212,0,488928,6226591,1,,,,,,
585212,0,488928,6272425,1,,,,,,
488928,0,585212,6359006,1,,,,,,
541017,0,585212,6443424,1,,,,,,
629627,0,534034,6598227,1,,,,,,
488928,0,585212,6703224,1,,,,,,
585212,0,644830,6733654,1,,,,,,
644830,0,585212,6821216,1,,,,,,
541017,0,585212,6864201,1,,,,,,
599441,0,582851,6878154,1,,,,,,
585212,0,488928,6941544,1,,,,,,
644830,0,488928,7096778,1,,,,,,
488928,0,585212,7127283,1,,,,,,
644830,0,488928,7243181,1,,,,,,
541017,0,527597,7359754,1,,,,,,
585212,0,644830,7489945,1,,,,,,
541017,0,629627,7693360,1,,,,,,
585212,0,488928,7808131,1,,,,,,
563211,0,527597,7969021,1,,,,,,
599441,0,585212,8043145,1,,,,,,
563211,0,534034,8102282,1,,,,,,
644830,0,488928,8127107,1,,,,,,
629627,0,527597,8168946,1,,,,,,
541017,0,527597,8294685,1,,,,,,
629627,0,563211,8357396,1,,,,,,
541017,0,629627,8433984,1,,,,,,
585212,0,644830,8441674,1,,,,,,
534034,0,527597,8544418,1,,,,,,
541017,0,585212,8653188,1,,,,,,
563211,0,629627,8711294,1,,,,,,
585212,0,644830,8855927,1,,,,,,
585212,0,644830,9240893,1,,,,,,
644830,0,488928,9286158,1,,,,,,
