person,Household,Living,Personal,Healthcare,Leisure,Donations,Substances,Income,Transportation,Education,Telephone
466976,12473.39,14785.869999999999,5418.629999999999,0.0,3371.11,0.0,640.95,38019.8,5749.62,3963.81,0.0
478754,4977.6,10318.74,2949.6800000000003,0.0,1036.9299999999998,197.45,334.0,29465.3,0.0,179.32,0.0
492701,13570.75,24831.08,7488.93,4744.49,2513.37,3006.51,170.12,39167.1,16279.8,0.0,0.0
493094,12046.630000000001,19790.6,14693.42,0.0,10831.009999999998,0.0,1159.64,79413.8,0.0,78.87,1173.68
493652,2940.09,1384.7,4490.73,0.0,1050.25,950.1500000000001,142.76,15445.8,8492.89,120.27,0.0
500813,5615.91,6108.99,8670.150000000001,1208.09,2672.3799999999997,0.0,348.63,26707.8,7926.69,2066.72,249.16
508898,5978.38,14161.29,22603.72,0.0,3035.49,3937.24,73.45,50214.1,19974.0,0.0,384.0
516236,11625.08,95037.38,186353.27,0.0,2898.88,18093.67,713.06,159997.0,41464.4,0.0,8956.1
520084,11527.69,29816.03,54515.1,11179.5,5343.67,15285.400000000001,2283.7,129601.0,30415.8,8845.36,2588.29
529433,16261.67,27868.8,24529.82,10862.7,8586.85,1284.37,4954.32,121408.0,15821.9,8060.6,2514.63
536951,4131.9,1840.36,10645.2,0.0,475.36,954.38,507.47,5234.64,4620.27,2552.28,394.63
538892,2831.8199999999997,11350.24,2060.92,0.0,318.53,612.53,66.56,7866.03,2011.04,2087.94,287.96
541619,2093.59,2305.13,1342.68,713.5,268.45,588.78,75.27,4553.79,2793.29,16.34,125.82
542965,1778.89,4406.2,3256.3,0.0,1310.6599999999999,1637.51,149.53,14865.8,8413.6,0.0,613.8
544074,1098.14,604.56,2261.4,0.0,382.88,549.8499999999999,139.33,5639.96,2345.31,73.43,18.12
568284,5013.0,9295.44,4723.49,0.0,676.71,1772.19,285.7,7039.65,3861.34,279.83,0.0
572391,1721.77,5193.83,4280.06,0.0,0.0,323.44,377.58,9063.18,7690.99,619.38,140.14
575295,3311.46,4379.21,1216.0900000000001,0.0,1272.05,1191.34,516.47,25163.8,5529.22,2117.18,0.0
578531,4737.7300000000005,11736.630000000001,13072.44,0.0,2998.1400000000003,535.49,239.94,44432.6,3994.14,4967.63,765.2
584736,17964.05,54407.880000000005,44093.86,0.0,6332.629999999999,15399.5,494.71,134196.0,0.0,0.0,1500.31
604113,2308.6400000000003,1722.74,1144.67,0.0,323.11,115.29,153.88,2933.47,0.0,0.0,53.94
607386,8753.159999999998,8277.68,10671.439999999999,0.0,4129.17,1534.15,352.43,67455.8,18698.1,0.0,790.97
610497,1468.05,1968.67,4131.04,0.0,191.06,0.0,436.27,3704.63,3200.7,0.0,180.33
614761,4707.17,5498.38,4715.280000000001,0.0,3508.3,2505.35,11.82,24662.9,5740.1,847.85,17.14
628223,16637.1,17593.039999999997,21264.75,0.0,6783.61,4869.08,576.14,86251.6,19153.4,0.0,30.83
657076,2547.54,10693.26,7388.6,0.0,1922.91,0.0,1367.81,36157.5,7256.03,0.0,501.28
